Country,Year,Rank,Total,Percentile,Decision,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Personal Safety,Environmental Quality,Tolerance and Inclusion,Press Freedom Index,Tolerance for immigrants,Discrimination and violence against minorities
South Sudan,2017,1st,113.9,100,Alert,10,9.7,9.7,10,8.9,6.4,10,10,9.5,9.9,10,9.8,,,7.1,4.5,5.9,9.9
Somalia,2017,2nd,113.4,99.4,Alert,9.4,10,8.9,8.9,9.3,9.8,9.3,9,9.5,10,10,9.3,0.7,,,6.5,5.5,9.4
Central African Republic,2017,3rd,112.6,98.8,Alert,9,9.7,9.1,9.1,10,7.5,9.7,10,9.7,9,10,9.8,0.2,6.8,8.1,3.4,5.8,9.3
Yemen,2017,4th,111.1,98.3,Alert,9.8,9.5,9.3,9.3,8.2,7.3,9.7,9.6,9.7,9.3,9.4,10,0,5.3,7.7,6.7,2.9,9.5
Sudan,2017,5th,110.6,97.1,Alert,9,9.7,10,8.5,7.4,8.9,9.8,8.9,9.6,9.3,9.8,9.7,0.3,6.4,7.2,7.3,3,9.8
Syria,2017,5th,110.6,97.1,Alert,9.8,9.9,9.8,8.1,7.7,8.4,9.9,9.2,9.8,8.2,9.8,10,,,,8.1,,10
"Congo, Republic of",2017,7th,110,96.6,Alert,9,9.8,10,8.4,8.4,6.6,9.6,9.5,9.8,9.4,10,9.5,0.5,4.3,5.4,3.6,6.7,6.9
Chad,2017,8th,109.4,96,Alert,9.4,9.8,8,8.5,9.1,8.8,9.1,9.7,9.1,10,9.6,8.3,1.7,5.6,5.8,4.1,6.9,8.5
Afghanistan,2017,9th,107.3,95.4,Alert,10,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,0.3,7.8,7.8,3.8,4.1,8.6
Iraq,2017,10th,105.4,94.9,Alert,10,9.6,9.6,6.6,7.3,7.7,9.5,8.2,8.7,8.6,9.9,9.7,0.3,5.5,7.2,5.4,5.2,9.8
Haiti,2017,11th,105.3,94.3,Alert,7.7,9.6,6.5,8.7,9.8,8.8,9.7,9.7,7.6,9.5,7.7,10,0,5.3,6,2.5,4.2,6.7
Guinea,2017,12th,102.4,93.7,Alert,8.8,9.6,8.6,9.2,7.7,7.4,9.6,9.5,7.7,8.7,8.2,7.4,2.6,5,5.9,3.3,7.6,8.8
Nigeria,2017,13th,101.6,92.6,Alert,9.2,9.6,9.2,8,8.6,7.2,8.6,9.2,8.9,9.1,7.5,6.5,3.5,3.8,6.4,3.6,7.1,9.4
Zimbabwe,2017,13th,101.6,92.6,Alert,8.1,9.8,7.3,8.6,8.5,7.9,9.2,8.9,8.2,9.1,8.5,7.5,2.5,4.5,5.6,4,5.7,7.5
Ethiopia,2017,15th,101.1,92,Alert,8.4,8.7,9.1,7,6.5,7.6,8.2,8.8,9,9.8,9.3,8.7,1.3,4.8,6.4,4.5,5.1,8.6
Guinea-Bissau,2017,16th,99.5,91.5,Alert,8.9,9.6,5.2,8.3,9.1,8.1,9.2,9.4,7.5,8.6,7.3,8.3,1.7,5.2,,2.9,,5.4
Pakistan,2017,17th,98.9,90.3,Alert,9.1,8.9,10,6.9,6.5,7.2,8.1,7.7,8,8.4,8.7,9.4,0.6,5.1,7.8,4.9,4.6,9.7
Burundi,2017,17th,98.9,90.3,Alert,8.8,8.2,7.9,8,7.2,6.3,8.8,8,8.8,9.3,8.6,9,1,4.6,6.6,5.4,5.8,8.1
Eritrea,2017,19th,98.1,89.8,Alert,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9,8.8,8.3,7.7,2.3,6,,8.4,,6.6
Niger,2017,20th,97.4,89.2,Alert,8.7,8.9,8,7.5,8.5,7.5,7.3,9.5,6.5,9,7.9,8.1,1.9,6,5.8,2.5,6.7,7.7
Cote d Ivoire,2017,21st,96.5,88.7,Alert,7.7,9.1,8.1,6.6,8,7.3,7.9,8.7,7.9,8.2,7.8,9.2,0.8,4,5.5,3,7.6,8.3
Kenya,2017,22nd,96.4,88.1,Alert,8.3,8.9,8.9,6.9,7.9,7.6,7.6,8,7,8.9,8.3,8.1,1.9,3.4,6.3,3.1,6.5,9.1
Libya,2017,23rd,96.3,87.5,Alert,9.6,9.4,8.1,8.5,5.6,6.3,9.5,7,9.1,4.9,8.3,10,0,5.8,5.4,5.8,7,8.3
Uganda,2017,24th,96,87,Alert,7.1,8.6,8.5,5.5,7.4,7.6,8.6,8.3,7.8,9,9.3,8.3,1.7,4.3,6.3,3.3,4.1,9
Myanmar,2017,35th,95.7,86.4,Alert,8.9,8.3,9.7,5.9,7.7,6.4,8.6,8.5,8.9,6.8,8.7,7.3,2.7,5.4,6.4,4.2,4.4,9.9
Cameroon,2017,26th,95.6,85.8,Alert,7.9,9.1,8.3,6.6,7.6,7.6,8.4,8.7,7.5,8.1,8,7.8,2.2,6.3,5.8,4.1,6.3,8.5
Liberia,2017,27th,93.8,85.3,Alert,6.4,8.3,5.8,8.1,8.4,7.2,6.8,9.3,6.5,9,8.7,9.3,0.7,4,5.5,3.1,5.6,6
